IDviis,FKey,VNr,Nr,voti,alter,tugiheli,korgus,tempo,takt,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,markusi,viis
4437,4332,1,,&,bh,f,,,,a,a,2c,a,a,g,g,g,g,g,h,g,g,g[e],f,f,Viis Nr. 3 (käesolev) on viisi Nr.1 (EÜS VII 2155 (1)) teisend.,
4438,4333,1,,&,bh,f,,,,a,a,2c,a,a,g,g,g,g,g,h,g,g,g[e],f,f,Viis Nr. 3 (käesolev) on viisi Nr.1 (EÜS VII 2155 (1)) teisend.,
4439,4334,1,,&,bh,f,,,,a,a,2c,a,a,g,g,g,g,g,h,g,g,g[e],f,f,Viis Nr. 3 (käesolev) on viisi Nr.1 (EÜS VII 2155 (1)) teisend.,
4440,4335,1,,&,#f,g,,,,a,a,2d,2c,2d,h,h,a,2d,2c,h,a,a,g,g,g,,4335
4441,4336,1,,&,#f,g,,,,a,a,2d,2c,2d,h,h,a,2d,2c,h,a,a,g,g,g,,4336
4442,4337,1,,&,bh,g,,,,a,a,2d,2c,2d,h,h,a,2d,2c,h,a,a,g,g,g,,4337
4443,4339,1,,&,,?,,,,otsi orig-st,,,,,,,,,,,,,,,,Kartoteegis puudub laulu algus (1. kaart).,
4444,4340,1,,&,#f,g,,,,2d,2d[2c],h,2c[h/2c],2d,2d,h,h,h[2c],h[2c],a,a[a/h],g,g,g,g,,
4445,4341,1,,&,#f;#c,c,,,,2c,2d,2f,2f,2e,2d,2c,2c,2d,2d,2c,2e,2#d,2#d,2c,2c,,
4446,4342,1,,&,bh,f,,,,c,c,f,f,g,g,g/a,g,g,f,e/f,g,a,g,f,f,,
4447,4343,1,,&,#f,g;a,,valsi tempo,,h,g,h,2d,h,g,a,a,a,f,a,2d/h,a,f,g[a],g[a],Valsi tempo,
4922,93,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4923,102,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4924,101,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
4925,100,1,,&,,,,,,kodeeritult kuskil olemas,,,,,,,,,,,,,,,,,
